%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
26.0, 95.66664086654782, 86.4477874757722, 57.59445931762457, 56.26679483335465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191255047E9, 0.0, 2025-11-15 12:33:39.125
26.0, 176.12684851326048, 167.60735641419888, 139.98445534147322, 132.38871853146702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191255047E9, 0.0, 2025-11-15 12:33:39.125
0.0, -258.24757174029946, -171.5398612176068, -198.34559415001422, -168.16647145757452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191553075E9, 0.0, 2025-11-15 12:33:39.155
1.0, -94.46613298077136, -34.221954544540495, -92.74203910119832, -69.63132732501253, 0.0, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191687217E9, 0.0, 2025-11-15 12:33:39.168
1.0, -154.79445916600525, -79.36254700971767, -104.25719106476754, -78.50610991986468, 0.0, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191687217E9, 0.0, 2025-11-15 12:33:39.168
2.0, -269.48597110714763, -178.8476257310249, -193.00501701328903, -165.44008438987657, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191854331E9, 0.0, 2025-11-15 12:33:39.185
2.0, -169.64560189004987, -108.60108486330137, -145.26145417895168, -114.11369739798829, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191854331E9, 0.0, 2025-11-15 12:33:39.185
3.0, -94.39881478156894, -27.785586720798165, -72.31844544317573, -45.5575913102366, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191861656E9, 0.0, 2025-11-15 12:33:39.186
3.0, -277.6127737108618, -184.64073076238856, -200.44741792511195, -163.56639451207593, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191861656E9, 0.0, 2025-11-15 12:33:39.186
4.0, -230.33295847103, -153.35646763304248, -185.47659840248525, -152.48133104341105, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191985376E9, 0.0, 2025-11-15 12:33:39.198
4.0, -64.73018843308091, -0.11032704869285226, -63.19682945124805, -40.677021868061274, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280191985376E9, 0.0, 2025-11-15 12:33:39.198
5.0, -237.97731398046017, -146.33293551625684, -166.99027292151004, -136.18658693647012, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192142227E9, 0.0, 2025-11-15 12:33:39.214
5.0, -263.8649014737457, -179.00844142911956, -204.8754594726488, -168.77233525039628, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192142227E9, 0.0, 2025-11-15 12:33:39.214
6.0, -102.26382438838482, -34.569765240419656, -95.90225456375629, -73.39740658039227, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019214926E9, 0.0, 2025-11-15 12:33:39.214
6.0, -160.60626369714737, -76.3855866449885, -103.41197367478162, -77.9825239260681, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019214926E9, 0.0, 2025-11-15 12:33:39.214
7.0, -268.6108345175162, -181.35335870133713, -203.0204690946266, -164.73698319820687, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192285702E9, 0.0, 2025-11-15 12:33:39.228
7.0, -172.68240065407008, -103.4774219240062, -148.82557883672416, -114.7793995901011, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192285702E9, 0.0, 2025-11-15 12:33:39.228
8.0, -87.1546285673976, -22.78534048004076, -73.2571603320539, -47.01241239299998, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019244287E9, 0.0, 2025-11-15 12:33:39.244
8.0, -266.44917234312743, -171.47628291836008, -187.6831393763423, -151.37432065652683, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019244287E9, 0.0, 2025-11-15 12:33:39.244
9.0, -240.83459754660726, -159.74421675736085, -182.78387043438852, -145.69341262383386, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019244934E9, 0.0, 2025-11-15 12:33:39.244
9.0, -57.01103492453694, 0.843347440008074, -60.64995758142322, -43.56422463385388, -0.03200000151991844, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019244934E9, 0.0, 2025-11-15 12:33:39.244
10.0, -232.54697924479842, -138.2734511117451, -160.53520559798926, -129.03589822119102, -0.03200000151991844, 0.20800000987946987, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192585428E9, 0.0, 2025-11-15 12:33:39.258
10.0, -262.4586990904063, -174.71877617994323, -196.69629826955497, -150.057875872124, -0.03200000151991844, 0.20800000987946987, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192585428E9, 0.0, 2025-11-15 12:33:39.258
11.0, -99.09986902587116, -38.4443015945144, -100.58834920823574, -75.88444005092606, -0.03200000151991844, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192742026E9, 0.0, 2025-11-15 12:33:39.274
11.0, -150.13080392125994, -80.28256239881739, -115.86584052722901, -88.93295099632815, -0.03200000151991844, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192742026E9, 0.0, 2025-11-15 12:33:39.274
12.0, -258.4233470382169, -175.46675617108122, -201.3188146147877, -169.9466638364829, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192749405E9, 0.0, 2025-11-15 12:33:39.274
12.0, -176.32880311086774, -100.64631765754893, -150.38885701820254, -127.2295265425928, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192749405E9, 0.0, 2025-11-15 12:33:39.274
13.0, -92.51764510385692, -24.172843363601714, -73.34691793099046, -58.17601376073435, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192886212E9, 0.0, 2025-11-15 12:33:39.288
13.0, -274.2431238507852, -179.1430778275244, -195.4583913842216, -164.34803360281512, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280192886212E9, 0.0, 2025-11-15 12:33:39.288
14.0, -236.19712160155177, -157.48157728416845, -190.7535972399637, -164.59112709993497, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76322801930396E9, 0.0, 2025-11-15 12:33:39.303
14.0, -69.90247007180005, -11.45344361430034, -70.42979596555233, -49.83603685954586, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76322801930396E9, 0.0, 2025-11-15 12:33:39.303
15.0, -232.47218124568462, -155.6826854054816, -173.46029984485358, -141.53838377306238, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193192828E9, 0.0, 2025-11-15 12:33:39.319
15.0, -259.69491302315146, -178.83640603115782, -210.4366907067597, -166.93978427210823, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193192828E9, 0.0, 2025-11-15 12:33:39.319
16.0, -99.03255082666874, -47.76039238413796, -117.97888400219381, -82.97155046695843, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193199394E9, 0.0, 2025-11-15 12:33:39.319
16.0, -166.13757573161274, -89.31442079180852, -124.2095573283732, -90.91883787279949, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193199394E9, 0.0, 2025-11-15 12:33:39.319
17.0, -271.18388568703085, -190.5198534927331, -216.50280843488872, -172.66183120431378, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193342056E9, 0.0, 2025-11-15 12:33:39.334
17.0, -171.0854633729905, -105.71014219755307, -154.01655997522175, -126.87423604680225, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193342056E9, 0.0, 2025-11-15 12:33:39.334
18.0, -78.14520957414061, -9.624632535967976, -62.46380905993283, -41.103370463009924, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193349032E9, 0.0, 2025-11-15 12:33:39.334
18.0, -268.5809153178707, -181.33839910151437, -203.74974958598614, -173.03582119988278, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193349032E9, 0.0, 2025-11-15 12:33:39.334
19.0, -231.22679456043988, -151.33318175701424, -189.26885695755482, -149.74746417580172, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193485608E9, 0.0, 2025-11-15 12:33:39.348
19.0, -56.72306262794882, -3.0760677135549486, -67.479014900513, -45.516452410724014, -0.01600000075995922, 0.09600000455975533, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193485608E9, 0.0, 2025-11-15 12:33:39.348
20.0, -228.10023819748312, -141.0521967788227, -163.8599766585976, -128.59085012646392, -0.01600000075995922, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193641996E9, 0.0, 2025-11-15 12:33:39.364
20.0, -276.86105381976813, -196.71686771931127, -220.04823359288275, -175.42187737161294, -0.01600000075995922, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193641996E9, 0.0, 2025-11-15 12:33:39.364
21.0, -105.04630995541811, -48.94594067009166, -104.47784516215324, -69.84076172253117, -0.01600000075995922, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193649132E9, 0.0, 2025-11-15 12:33:39.364
21.0, -159.26737951301038, -82.7995150689967, -114.75509024038911, -85.95225073164329, -0.01600000075995922, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193649132E9, 0.0, 2025-11-15 12:33:39.364
22.0, -263.4497725786641, -174.2138896859251, -198.03518245369196, -165.52610208885744, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193785872E9, 0.0, 2025-11-15 12:33:39.378
22.0, -183.03070383146405, -112.49058081721887, -158.49322022218257, -121.12226991495118, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193785872E9, 0.0, 2025-11-15 12:33:39.378
23.0, -83.1903346143663, -20.204809510614723, -69.15075018070638, -51.81070403615013, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193944044E9, 0.0, 2025-11-15 12:33:39.394
23.0, -285.6572985155508, -190.65822979109362, -210.75084230303764, -174.61031908122823, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280193944044E9, 0.0, 2025-11-15 12:33:39.394
24.0, -244.92604809813201, -167.05198127077892, -203.31218129117042, -165.1371524934657, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019394928E9, 0.0, 2025-11-15 12:33:39.394
24.0, -63.06967285275459, -15.48131586657837, -76.27525959629565, -49.503185763489455, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019394928E9, 0.0, 2025-11-15 12:33:39.394
25.0, -231.0771985622123, -145.84300862206146, -164.36486315261573, -130.32242380594835, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194085584E9, 0.0, 2025-11-15 12:33:39.408
25.0, -270.4620849955827, -187.49427442857996, -214.026994664222, -177.04499395238236, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194085584E9, 0.0, 2025-11-15 12:33:39.408
26.0, -100.32281631138176, -38.4817005940713, -103.1614003777504, -80.77996909292415, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194242659E9, 0.0, 2025-11-15 12:33:39.424
26.0, -151.94839529972523, -68.96562513289973, -100.50607140921056, -64.04391679121181, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194242659E9, 0.0, 2025-11-15 12:33:39.424
27.0, -282.07447435799986, -187.3297188305296, -209.6513117160648, -175.05536717595533, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194249682E9, 0.0, 2025-11-15 12:33:39.424
27.0, -172.10645606089383, -100.80339345568791, -153.5902113802731, -127.36790284095332, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194249682E9, 0.0, 2025-11-15 12:33:39.424
28.0, -89.09937654435635, -13.674944187980145, -66.04663321748376, -42.58811074541882, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019438562E9, 0.0, 2025-11-15 12:33:39.438
28.0, -281.1058402694762, -190.01870689867064, -204.48276997730136, -170.7619620268233, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019438562E9, 0.0, 2025-11-15 12:33:39.438
29.0, -235.83809120580554, -157.64239298226312, -195.02830288931727, -157.47035758430138, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194542632E9, 0.0, 2025-11-15 12:33:39.454
29.0, -58.29756050929427, -14.523901477921754, -77.65528267994523, -51.21979984315112, -0.03200000151991844, 0.1600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194542632E9, 0.0, 2025-11-15 12:33:39.454
30.0, -240.35215045232326, -143.59532874869183, -161.06253149174154, -124.30492477724329, -0.03200000151991844, 0.1600000075995922, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194549847E9, 0.0, 2025-11-15 12:33:39.454
30.0, -260.99639820773154, -180.31366651365533, -208.94073072448373, -173.9894956885837, -0.03200000151991844, 0.1600000075995922, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194549847E9, 0.0, 2025-11-15 12:33:39.454
31.0, -102.58545578457415, -41.31654476048425, -102.43959968630224, -82.54520187200978, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194685678E9, 0.0, 2025-11-15 12:33:39.468
31.0, -154.4055095706135, -69.5714889257215, -104.19361276552081, -82.25722957542166, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280194685678E9, 0.0, 2025-11-15 12:33:39.468
32.0, -285.9452708121389, -190.9948207871057, -216.39061143621802, -187.87574422406033, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019484929E9, 0.0, 2025-11-15 12:33:39.484
32.0, -172.1924737598747, -102.28439383814111, -154.4765676697716, -127.68205443723127, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019484929E9, 0.0, 2025-11-15 12:33:39.484
33.0, -88.87872244697064, -22.014921089168638, -75.18694870918989, -55.06441699760035, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019485624E9, 0.0, 2025-11-15 12:33:39.485
33.0, -277.96058440674096, -186.54059993987903, -206.3190608555451, -162.51922252448276, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019485624E9, 0.0, 2025-11-15 12:33:39.485
34.0, -241.43298153951764, -164.21339720441028, -195.12180038820952, -154.62803361797705, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019498562E9, 0.0, 2025-11-15 12:33:39.498
34.0, -69.53595987614244, -8.839253545273095, -70.2914196671918, -49.103016468230635, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.763228019498562E9, 0.0, 2025-11-15 12:33:39.498
35.0, -233.19772183708847, -136.48203903296962, -160.24723330140114, -131.10032299673185, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195142624E9, 0.0, 2025-11-15 12:33:39.514
35.0, -263.3525351798162, -170.69838372757658, -196.78605586849153, -163.14378581708297, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195142624E9, 0.0, 2025-11-15 12:33:39.514
36.0, -85.5988301858306, -27.63225082261488, -97.34959584660828, -75.05792216071859, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195149794E9, 0.0, 2025-11-15 12:33:39.514
36.0, -164.675274848938, -74.53059626696631, -108.7936897110194, -86.93958431994542, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195149794E9, 0.0, 2025-11-15 12:33:39.514
37.0, -274.58719464670867, -177.2095495504327, -203.9068253841251, -171.56978041725233, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195285473E9, 0.0, 2025-11-15 12:33:39.528
37.0, -177.00198510289192, -109.7380144498311, -159.83584430627525, -133.9725661627017, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195285473E9, 0.0, 2025-11-15 12:33:39.528
38.0, -81.9299883292988, -15.040007671806961, -73.75456702616066, -50.59523655055091, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195442705E9, 0.0, 2025-11-15 12:33:39.544
38.0, -263.50961097795516, -171.3640859196894, -184.7173987114802, -150.74227756401524, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195442705E9, 0.0, 2025-11-15 12:33:39.544
39.0, -242.92146172188222, -163.5364753124304, -198.99633674230427, -163.9067254080437, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195450084E9, 0.0, 2025-11-15 12:33:39.545
39.0, -62.47876865975559, -1.2659561350010335, -64.37863783724606, -45.034005316440016, -0.03200000151991844, 0.17600000835955143, 0.7680000364780426, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195450084E9, 0.0, 2025-11-15 12:33:39.545
40.0, -229.36058448255062, -130.3037243061699, -148.0738589456305, -121.99740650458261, -0.03200000151991844, 0.17600000835955143, 0.8960000425577164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195585437E9, 0.0, 2025-11-15 12:33:39.558
40.0, -264.5268637659028, -170.07008053502068, -203.68243138678372, -166.315220979508, -0.03200000151991844, 0.17600000835955143, 0.8960000425577164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195585437E9, 0.0, 2025-11-15 12:33:39.558
41.0, -100.77908410597593, -35.770273126196116, -100.7155058067292, -77.84788752766326, -0.03200000151991844, 0.19200000911951065, 0.8960000425577164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195742512E9, 0.0, 2025-11-15 12:33:39.574
41.0, -162.49865307472646, -73.31886868132278, -102.25260468851775, -78.00122342584655, -0.03200000151991844, 0.19200000911951065, 0.8960000425577164, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7632280195742512E9, 0.0, 2025-11-15 12:33:39.574
